Book Title,Author,Edition,Product Type,Copyright Year,Copyright Holder,Print ISBN,Electronic ISBN,Language,Language Collection,eBook Package,English Package Name,German Package Name,Series Print ISSN,Series Electronic ISSN,Series Title,Volume Number,DOI URL,OpenURL,Subject Classification,Publisher,Imprint
Fundamentals of Power Electronics,"Robert W. Erickson, Dragan Maksimovic",2nd ed. 2001,Graduate/advanced undergraduate textbook,2001,Springer Science+Business Media New York ,978-0-7923-7270-7,978-0-306-48048-5,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/b100747,http://link.springer.com/openurl?genre=book&isbn=978-0-306-48048-5,"Engineering; Circuits and Systems; Energy, general; Electronics and Microelectronics, Instrumentation; Energy Systems",Springer US,Springer
Handbook of the Life Course,"Jeylan T. Mortimer, Michael J. Shanahan",2003,Graduate/advanced undergraduate textbook,2003,Springer Science+Business Media New York,978-0-306-47498-9,978-0-306-48247-2,EN,English/International,11648,"Humanities, Social Sciences and Law",,1389-6903,2542-839X,Handbooks of Sociology and Social Research,,http://doi.org/10.1007/b100507,http://link.springer.com/openurl?genre=book&isbn=978-0-306-48247-2,"Social Sciences; Sociology, general; Clinical Psychology; Population Economics",Springer US,Springer
All of Statistics,Larry Wasserman,2004,Graduate/advanced undergraduate textbook,2004,Springer-Verlag New York,978-0-387-40272-7,978-0-387-21736-9,EN,English/International,11649,Mathematics and Statistics,,1431-875X,2197-4136,Springer Texts in Statistics,,http://doi.org/10.1007/978-0-387-21736-9,http://link.springer.com/openurl?genre=book&isbn=978-0-387-21736-9,"Mathematics; Computational Mathematics and Numerical Analysis; Probability Theory and Stochastic Processes; Complex Systems; Statistical Theory and Methods; Probability and Statistics in Computer Science; Statistics for Engineering, Physics, Computer Science, Chemistry and Earth Sciences",Springer New York,Springer
Social Anxiety and Social Phobia in Youth,Christopher Kearney,2005,Graduate/advanced undergraduate textbook,2005,Springer-Verlag US,978-0-387-22591-3,978-0-387-22592-0,EN,English/International,11640,Behavioral Science,,,,Series in Anxiety and Related Disorders,,http://doi.org/10.1007/b99417,http://link.springer.com/openurl?genre=book&isbn=978-0-387-22592-0,Psychology; Clinical Psychology; Personality and Social Psychology; Community and Environmental Psychology,Springer US,Springer
Discrete Mathematics,"László Lovász, József Pelikán, Katalin Vesztergombi",2003,Undergraduate textbook,2003,Springer-Verlag New York,978-0-387-95584-1,978-0-387-21777-2,EN,English/International,11649,Mathematics and Statistics,,0172-6056,2197-5604,Undergraduate Texts in Mathematics,,http://doi.org/10.1007/b97469,http://link.springer.com/openurl?genre=book&isbn=978-0-387-21777-2,Mathematics; Combinatorics; Number Theory,Springer New York,Springer
Developmental Neurobiology,"Mahendra S. Rao, Marcus Jacobson",4th ed. 2005,Graduate/advanced undergraduate textbook,2005,Springer-Verlag US,978-0-306-48330-1,978-0-387-28117-9,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/0-387-28117-7,http://link.springer.com/openurl?genre=book&isbn=978-0-387-28117-9,Biomedicine; Neurosciences; Anatomy; Neurobiology,Springer US,Springer
Intuitive Probability and Random Processes using MATLAB®,Steven Kay,2006,Graduate/advanced undergraduate textbook,2006,Springer-Verlag US,978-0-387-24157-9,978-0-387-24158-6,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/b104645,http://link.springer.com/openurl?genre=book&isbn=978-0-387-24158-6,"Engineering; Communications Engineering, Networks; Mathematical Software; Mathematical and Computational Engineering; Signal, Image and Speech Processing; Probability Theory and Stochastic Processes; Fourier Analysis",Springer US,Springer
Handbook of Disaster Research,"Havidan Rodriguez, Enrico L. Quarantelli, Russell Dynes",2006,Graduate/advanced undergraduate textbook,2007,Springer New York,978-0-387-32331-2,978-0-387-32353-4,EN,English/International,11648,"Humanities, Social Sciences and Law",,1389-6903,2542-839X,Handbooks of Sociology and Social Research,,http://doi.org/10.1007/978-0-387-32353-4,http://link.springer.com/openurl?genre=book&isbn=978-0-387-32353-4,"Social Sciences; Sociology, general; Public Health; Demography",Springer New York,Springer
Handbook of the Sociology of Gender,Janet Saltzman Chafetz,1999,Graduate/advanced undergraduate textbook,2006,Springer-Verlag US,978-0-306-45978-8,978-0-387-36218-2,EN,English/International,11648,"Humanities, Social Sciences and Law",,1389-6903,2542-839X,Handbooks of Sociology and Social Research,,http://doi.org/10.1007/0-387-36218-5,http://link.springer.com/openurl?genre=book&isbn=978-0-387-36218-2,"Social Sciences; Sociology, general; Social Sciences, general; Personality and Social Psychology",Springer US,Springer
Handbook of Sociological Theory,Jonathan H. Turner,2001,Graduate/advanced undergraduate textbook,2001,Springer-Verlag US,978-0-306-46554-3,978-0-387-36274-8,EN,English/International,11648,"Humanities, Social Sciences and Law",,1389-6903,2542-839X,Handbooks of Sociology and Social Research,,http://doi.org/10.1007/0-387-36274-6,http://link.springer.com/openurl?genre=book&isbn=978-0-387-36274-8,"Social Sciences; Sociology, general; Political Science",Springer US,Springer
Clinical Neuroanatomy,"John Mendoza, Anne Foundas",2008,Graduate/advanced undergraduate textbook,2008,Springer-Verlag New York,978-0-387-36600-5,978-0-387-36601-2,EN,English/International,11640,Behavioral Science,,,,,,http://doi.org/10.1007/978-0-387-36601-2,http://link.springer.com/openurl?genre=book&isbn=978-0-387-36601-2,"Psychology; Neuropsychology; Psychiatry; Anatomy; Psychology, general",Springer New York,Springer
Acquired Brain Injury,"Jean Elbaum, Deborah Benson",2007,Graduate/advanced undergraduate textbook,2007,Springer-Verlag New York,978-0-387-37574-8,978-0-387-37575-5,EN,English/International,11640,Behavioral Science,,,,,,http://doi.org/10.1007/978-0-387-37575-5,http://link.springer.com/openurl?genre=book&isbn=978-0-387-37575-5,Psychology; Neuropsychology; Rehabilitation; Behavioral Therapy; Rehabilitation Medicine,Springer New York,Springer
Numerical Optimization,"Jorge Nocedal, Stephen Wright",2nd ed. 2006,Graduate/advanced undergraduate textbook,2006,Springer-Verlag New York,978-0-387-30303-1,978-0-387-40065-5,EN,English/International,11649,Mathematics and Statistics,,1431-8598,2197-1773,Springer Series in Operations Research and Financial Engineering,,http://doi.org/10.1007/978-0-387-40065-5,http://link.springer.com/openurl?genre=book&isbn=978-0-387-40065-5,"Mathematics; Optimization; Calculus of Variations and Optimal Control; Optimization; Systems Theory, Control; Computational Mathematics and Numerical Analysis; Operations Research/Decision Theory",Springer New York,Springer
Handbook of Biological Confocal Microscopy,James Pawley,3rd ed. 2006,Graduate/advanced undergraduate textbook,2006,Springer-Verlag US,978-0-387-25921-5,978-0-387-45524-2,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-0-387-45524-2,http://link.springer.com/openurl?genre=book&isbn=978-0-387-45524-2,"Life Sciences; Biochemistry, general; Biotechnology",Springer US,Springer
Ceramic Materials,"C. Barry Carter, M. Grant Norton",2007,Graduate/advanced undergraduate textbook,2007,Springer-Verlag New York,978-0-387-46270-7,978-0-387-46271-4,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-0-387-46271-4,http://link.springer.com/openurl?genre=book&isbn=978-0-387-46271-4,"Materials Science; Ceramics, Glass, Composites, Natural Materials; Industrial and Production Engineering; Characterization and Evaluation of Materials; Inorganic Chemistry; Nanotechnology",Springer New York,Springer
