Book Title,Author,Edition,Product Type,Copyright Year,Copyright Holder,Print ISBN,Electronic ISBN,Language,Language Collection,eBook Package,English Package Name,German Package Name,Series Print ISSN,Series Electronic ISSN,Series Title,Volume Number,DOI URL,OpenURL,Subject Classification,Publisher,Imprint
Principles of Fluorescence Spectroscopy,Joseph R. Lakowicz,3rd ed. 2006,Graduate/advanced undergraduate textbook,2006,Springer-Verlag US,978-0-387-31278-1,978-0-387-46312-4,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-0-387-46312-4,http://link.springer.com/openurl?genre=book&isbn=978-0-387-46312-4,"Chemistry; Mass Spectrometry; Analytical Chemistry; Biological and Medical Physics, Biophysics; Biochemistry, general; Biotechnology; Physical Chemistry",Springer US,Springer
Fundamentals of Biomechanics,Duane Knudson,2nd ed. 2007,Graduate/advanced undergraduate textbook,2007,Springer-Verlag US,978-0-387-49311-4,978-0-387-49312-1,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-0-387-49312-1,http://link.springer.com/openurl?genre=book&isbn=978-0-387-49312-1,"Biomedicine; Human Physiology; Biological and Medical Physics, Biophysics; Biomedical Engineering; Sports Medicine",Springer US,Springer
Primer on the Rheumatic Diseases,"John H. Klippel, John H. Stone, L eslie J. Crofford, Patience H. White",13th ed. 2008,Graduate/advanced undergraduate textbook,2008,Springer-Verlag New York,978-0-387-35664-8,978-0-387-68566-3,EN,English/International,11650,Medicine,,,,,,http://doi.org/10.1007/978-0-387-68566-3,http://link.springer.com/openurl?genre=book&isbn=978-0-387-68566-3,Medicine & Public Health; Rheumatology; Orthopedics; Dermatology; Primary Care Medicine; Internal Medicine; Endocrinology,Springer New York,Springer
International Handbook of Historical Archaeology,"Teresita Majewski, David Gaimster",2009,Graduate/advanced undergraduate textbook,2009,"Springer Science+Business Media, LLC",978-0-387-72068-5,978-0-387-72071-5,EN,English/International,11648,"Humanities, Social Sciences and Law",,,,,,http://doi.org/10.1007/978-0-387-72071-5,http://link.springer.com/openurl?genre=book&isbn=978-0-387-72071-5,Social Sciences; Archaeology; Cultural Heritage,Springer New York,Springer
Database Marketing,"Robert C. Blattberg, Byung-Do Kim, Scott A. Neslin",2008,Undergraduate textbook,2008,Springer-Verlag New York,978-0-387-72578-9,978-0-387-72579-6,EN,English/International,11643,Business and Economics,,0923-6716,2199-1057,International Series in Quantitative Marketing,18,http://doi.org/10.1007/978-0-387-72579-6,http://link.springer.com/openurl?genre=book&isbn=978-0-387-72579-6,Business and Management; Market Research/Competitive Intelligence; Marketing; Management; Innovation/Technology Management,Springer New York,Springer
Composite Materials,Krishan K. Chawla,3rd ed. 2012,Graduate/advanced undergraduate textbook,2012,Springer Science+Business Media New York,978-0-387-74364-6,978-0-387-74365-3,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-0-387-74365-3,http://link.springer.com/openurl?genre=book&isbn=978-0-387-74365-3,"Materials Science; Ceramics, Glass, Composites, Natural Materials; Engineering Design; Polymer Sciences; Mechanical Engineering; Civil Engineering",Springer New York,Springer
Time Series Analysis,"Jonathan D. Cryer, Kung-Sik Chan",2nd ed. 2008,Graduate/advanced undergraduate textbook,2008,Springer-Verlag New York,978-0-387-75958-6,978-0-387-75959-3,EN,English/International,11649,Mathematics and Statistics,,1431-875X,2197-4136,Springer Texts in Statistics,,http://doi.org/10.1007/978-0-387-75959-3,http://link.springer.com/openurl?genre=book&isbn=978-0-387-75959-3,Mathematics; Probability Theory and Stochastic Processes; Statistical Theory and Methods; Actuarial Sciences,Springer New York,Springer
Transmission Electron Microscopy,"David B. Williams, C. Barry Carter",2nd ed. 2009,Graduate/advanced undergraduate textbook,2009,Springer-Verlag US,978-0-387-76500-6,978-0-387-76501-3,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-0-387-76501-3,http://link.springer.com/openurl?genre=book&isbn=978-0-387-76501-3,Materials Science; Characterization and Evaluation of Materials; Nanotechnology; Solid State Physics; Spectroscopy and Microscopy,Springer US,Springer
Handbook of Quantitative Criminology,"Alex R. Piquero, David Weisburd",1st ed. 2010,Graduate/advanced undergraduate textbook,2010,"Springer Science+Business Media, LLC",978-0-387-77649-1,978-0-387-77650-7,EN,English/International,11648,"Humanities, Social Sciences and Law",,,,,,http://doi.org/10.1007/978-0-387-77650-7,http://link.springer.com/openurl?genre=book&isbn=978-0-387-77650-7,"Criminology and Criminal Justice; Criminology and Criminal Justice, general; Statistics for Social Science, Behavorial Science, Education, Public Policy, and Law; Methodology of the Social Sciences",Springer New York,Springer
Plant Physiological Ecology,"Hans Lambers, F Stuart Chapin III, Thijs L. Pons",2nd ed. 2008,Graduate/advanced undergraduate textbook,2008,Springer-Verlag New York,978-0-387-78340-6,978-0-387-78341-3,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-0-387-78341-3,http://link.springer.com/openurl?genre=book&isbn=978-0-387-78341-3,Life Sciences; Plant Ecology; Plant Physiology; Plant Sciences; Ecology; Plant Anatomy/Development; Ecosystems,Springer New York,Springer
Introductory Statistics with R,Peter Dalgaard,2nd ed. 2008,Undergraduate textbook,2008,Springer-Verlag New York,978-0-387-79053-4,978-0-387-79054-1,EN,English/International,11649,Mathematics and Statistics,,1431-8784,2197-1706,Statistics and Computing,,http://doi.org/10.1007/978-0-387-79054-1,http://link.springer.com/openurl?genre=book&isbn=978-0-387-79054-1,Mathematics; Probability Theory and Stochastic Processes; Statistics and Computing/Statistics Programs; Bioinformatics; Computer Appl. in Life Sciences,Springer New York,Springer
The Elements of Statistical Learning,"Trevor Hastie, Robert Tibshirani, Jerome Friedman",2nd ed. 2009,Graduate/advanced undergraduate textbook,2009,Springer-Verlag New York,978-0-387-84857-0,978-0-387-84858-7,EN,English/International,11649,Mathematics and Statistics,,0172-7397,2197-568X,Springer Series in Statistics,,http://doi.org/10.1007/978-0-387-84858-7,http://link.springer.com/openurl?genre=book&isbn=978-0-387-84858-7,Computer Science; Data Mining and Knowledge Discovery; Probability Theory and Stochastic Processes; Statistical Theory and Methods; Computational Biology/Bioinformatics; Computer Appl. in Life Sciences,Springer New York,Springer
"Psychology, Religion, and Spirituality",James M. Nelson,2009,Graduate/advanced undergraduate textbook,2009,Springer-Verlag New York,978-0-387-87572-9,978-0-387-87573-6,EN,English/International,11640,Behavioral Science,,,,,,http://doi.org/10.1007/978-0-387-87573-6,http://link.springer.com/openurl?genre=book&isbn=978-0-387-87573-6,"Psychology; Clinical Psychology; Religious Studies, general",Springer New York,Springer
Introductory Time Series with R,"Paul S.P. Cowpertwait, Andrew V. Metcalfe",2009,Graduate/advanced undergraduate textbook,2009,Springer-Verlag New York,978-0-387-88697-8,978-0-387-88698-5,EN,English/International,11649,Mathematics and Statistics,,2197-5736,2197-5744,Use R!,,http://doi.org/10.1007/978-0-387-88698-5,http://link.springer.com/openurl?genre=book&isbn=978-0-387-88698-5,"Mathematics; Probability Theory and Stochastic Processes; Statistical Theory and Methods; Probability and Statistics in Computer Science; Marketing; Econometrics; Signal, Image and Speech Processing",Springer New York,Springer
Child Neuropsychology,"Margaret Semrud-Clikeman, Phyllis Anne Teeter Ellison",2nd ed. 2009,Graduate/advanced undergraduate textbook,2009,Springer-Verlag US,978-0-387-88962-7,978-0-387-88963-4,EN,English/International,11640,Behavioral Science,,,,,,http://doi.org/10.1007/978-0-387-88963-4,http://link.springer.com/openurl?genre=book&isbn=978-0-387-88963-4,Psychology; Child and School Psychology; Neuropsychology,Springer US,Springer
A Beginner's Guide to R,"Alain Zuur, Elena N. Ieno, Erik Meesters",2009,Graduate/advanced undergraduate textbook,2009,Springer-Verlag New York,978-0-387-93836-3,978-0-387-93837-0,EN,English/International,11649,Mathematics and Statistics,,2197-5736,2197-5744,Use R!,,http://doi.org/10.1007/978-0-387-93837-0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-93837-0,"Statistics; Statistics and Computing/Statistics Programs; Theoretical Ecology/Statistics; Statistics for Life Sciences, Medicine, Health Sciences",Springer New York,Springer
Geomorphology of Desert Environments,"Anthony J. Parsons, A. D. Abrahams",2nd ed. 2009,Graduate/advanced undergraduate textbook,2009,Springer Science+Business Media B.V.,978-1-4020-5718-2,978-1-4020-5719-9,EN,English/International,11646,Earth and Environmental Science,,,,,,http://doi.org/10.1007/978-1-4020-5719-9,http://link.springer.com/openurl?genre=book&isbn=978-1-4020-5719-9,Geography; Geomorphology; Physical Geography; Geoecology/Natural Processes; Hydrogeology,Springer Netherlands,Springer
The Joy of Science,Richard A. Lockshin,2007,Graduate/advanced undergraduate textbook,2007,Springer Science+Business Media B.V.,978-1-4020-6098-4,978-1-4020-6099-1,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-1-4020-6099-1,http://link.springer.com/openurl?genre=book&isbn=978-1-4020-6099-1,"Biomedicine; Biomedicine, general; Evolutionary Biology; Microbial Genetics and Genomics; Popular Science in Nature and Environment",Springer Netherlands,Springer
Fatigue of Structures and Materials,J. Schijve,2nd ed. 2009,Graduate/advanced undergraduate textbook,2009,Springer Science+Business Media B.V.,978-1-4020-6807-2,978-1-4020-6808-9,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-1-4020-6808-9,http://link.springer.com/openurl?genre=book&isbn=978-1-4020-6808-9,Engineering; Mechanical Engineering; Engineering Design; Structural Materials; Metallic Materials,Springer Netherlands,Springer
Essential Astrophysics,Kenneth R. Lang,2013,Undergraduate textbook,2013,Springer-Verlag Berlin Heidelberg,978-3-642-35962-0,978-3-642-35963-7,EN,English/International,11651,Physics and Astronomy,,2192-4791,2192-4805,Undergraduate Lecture Notes in Physics,,http://doi.org/10.1007/978-3-642-35963-7,http://link.springer.com/openurl?genre=book&isbn=978-3-642-35963-7,"Physics; Astrophysics and Astroparticles; Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics); Astrobiology",Springer Berlin Heidelberg,Springer
Introduction to Evolutionary Computing,"A.E. Eiben, J.E. Smith",2nd ed. 2015,Undergraduate textbook,2015,Springer-Verlag Berlin Heidelberg,978-3-662-44873-1,978-3-662-44874-8,EN,English/International,11645,Computer Science,,1619-7127,,Natural Computing Series,,http://doi.org/10.1007/978-3-662-44874-8,http://link.springer.com/openurl?genre=book&isbn=978-3-662-44874-8,Computer Science; Computational Intelligence; Theory of Computation; Robotics and Automation; Optimization,Springer Berlin Heidelberg,Springer
Data Analysis,Siegmund Brandt,4th ed. 2014,Graduate/advanced undergraduate textbook,2014,Springer International Publishing Switzerland,978-3-319-03761-5,978-3-319-03762-2,EN,English/International,11651,Physics and Astronomy,,,,,,http://doi.org/10.1007/978-3-319-03762-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-03762-2,"Physics; Mathematical Methods in Physics; Mathematical and Computational Engineering; Statistics for Engineering, Physics, Computer Science, Chemistry and Earth Sciences; Math. Applications in Chemistry; Numerical and Computational Physics, Simulation",Springer International Publishing,Springer
International Perspectives on Psychotherapy,Stefan G. Hofmann,1st ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer International Publishing AG,978-3-319-56193-6,978-3-319-56194-3,EN,English/International,41168,Behavioral Science and Psychology,,,,,,http://doi.org/10.1007/978-3-319-56194-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-56194-3,Psychology; Clinical Psychology,Springer International Publishing,Springer
Electrical Machines,Slobodan N. Vukosavic,2012,Graduate/advanced undergraduate textbook,2013,Springer Science+Business Media New York,978-1-4614-0399-9,978-1-4614-0400-2,EN,English/International,40367,Energy,,2196-3185,2196-3193,Power Electronics and Power Systems,,http://doi.org/10.1007/978-1-4614-0400-2,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-0400-2,"Energy; Energy Systems; Power Electronics, Electrical Machines and Networks; Machinery and Machine Elements; Mechatronics; Industrial and Production Engineering",Springer New York,Springer
Mechanics and Thermodynamics,Wolfgang Demtröder,1st ed. 2017,Undergraduate textbook,2017,Springer International Publishing Switzerland,978-3-319-27875-9,978-3-319-27877-3,EN,English/International,11651,Physics and Astronomy,,2192-4791,2192-4805,Undergraduate Lecture Notes in Physics,,http://doi.org/10.1007/978-3-319-27877-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-27877-3,Physics; Classical Mechanics; Thermodynamics,Springer International Publishing,Springer
Applied Behavior Analysis,"Kimberly Maich, Darren Levine, Carmen Hall",1st ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing AG,978-3-319-44792-6,978-3-319-44794-0,EN,English/International,41168,Behavioral Science and Psychology,,,,,,http://doi.org/10.1007/978-3-319-44794-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-44794-0,Psychology; Child and School Psychology; Behavioral Therapy,Springer International Publishing,Springer
"Reading, Writing, and Proving","Ulrich Daepp, Pamela Gorkin",2nd ed. 2011,Undergraduate textbook,2011,"Springer Science+Business Media,LLC",978-1-4419-9478-3,978-1-4419-9479-0,EN,English/International,11649,Mathematics and Statistics,,0172-6056,2197-5604,Undergraduate Texts in Mathematics,,http://doi.org/10.1007/978-1-4419-9479-0,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-9479-0,Mathematics; Mathematical Logic and Foundations; Analysis; Number Theory,Springer New York,Springer
Linear and Nonlinear Programming,"David G. Luenberger, Yinyu Ye",4th ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-18841-6,978-3-319-18842-3,EN,English/International,41169,Business and Management,,0884-8289,2214-7934,International Series in Operations Research & Management Science,228,http://doi.org/10.1007/978-3-319-18842-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-18842-3,"Business and Management; Operations Research/Decision Theory; Operations Research, Management Science; Mathematical Modeling and Industrial Mathematics; Engineering Economics, Organization, Logistics, Marketing",Springer International Publishing,Springer
Introduction to Partial Differential Equations,David Borthwick,1st ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing AG,978-3-319-48934-6,978-3-319-48936-0,EN,English/International,11649,Mathematics and Statistics,,0172-5939,2191-6675,Universitext,,http://doi.org/10.1007/978-3-319-48936-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-48936-0,Mathematics; Partial Differential Equations; Mathematical Applications in the Physical Sciences,Springer International Publishing,Springer
Energy Storage,Robert Huggins,2nd ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-21238-8,978-3-319-21239-5,EN,English/International,40367,Energy,,,,,,http://doi.org/10.1007/978-3-319-21239-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-21239-5,Energy; Energy Storage; Optical and Electronic Materials; Renewable and Green Energy; Electrochemistry,Springer International Publishing,Springer
Metabolism of Human Diseases,"Eckhard Lammert, Martin Zeeb",2014,Graduate/advanced undergraduate textbook,2014,Springer-Verlag Wien,978-3-7091-0714-0,978-3-7091-0715-7,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-3-7091-0715-7,http://link.springer.com/openurl?genre=book&isbn=978-3-7091-0715-7,"Biomedicine; Human Physiology; Metabolic Diseases; Biochemistry, general; Metabolomics",Springer Vienna,Springer
Sensory Evaluation of Food,"Harry T. Lawless, Hildegarde Heymann",2nd ed. 2010,Graduate/advanced undergraduate textbook,2010,"Springer Science+Business Media, LLC",978-1-4419-6487-8,978-1-4419-6488-5,EN,English/International,11644,Chemistry and Materials Science,,1572-0330,2214-7799,Food Science Text Series,,http://doi.org/10.1007/978-1-4419-6488-5,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-6488-5,Chemistry; Food Science; Neurochemistry; Receptors,Springer New York,Springer
Fundamentals of Robotic Mechanical Systems,Jorge Angeles,4th ed. 2014,Graduate/advanced undergraduate textbook,2014,Springer International Publishing Swizterland,978-3-319-01850-8,978-3-319-01851-5,EN,English/International,11647,Engineering,,0941-5122,2192-063X,Mechanical Engineering Series,124,http://doi.org/10.1007/978-3-319-01851-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-01851-5,Engineering; Mechanical Engineering; Robotics and Automation,Springer International Publishing,Springer
Integrative Human Biochemistry,"Andrea T. da Poian, Miguel A. R. B. Castanho",1st ed. 2015,Undergraduate textbook,2015,Springer Science+Business Media New York,978-1-4939-3057-9,978-1-4939-3058-6,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-1-4939-3058-6,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-3058-6,Biomedicine; Human Physiology; Medical Biochemistry; Animal Biochemistry; Medicinal Chemistry,Springer New York,Springer
Philosophy of Science for Scientists,Lars-Göran Johansson,1st ed. 2016,Undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-26549-0,978-3-319-26551-3,EN,English/International,41175,Religion and Philosophy,,2569-8737,2569-8753,Springer Undergraduate Texts in Philosophy,,http://doi.org/10.1007/978-3-319-26551-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-26551-3,Philosophy; Philosophy of Science; History and Philosophical Foundations of Physics; Mathematical Logic and Foundations,Springer International Publishing,Springer
Particles and Nuclei,"Bogdan Povh, Klaus Rith, Christoph Scholz, Frank Zetsche, Werner Rodejohann",7th ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer-Verlag Berlin Heidelberg,978-3-662-46320-8,978-3-662-46321-5,EN,English/International,11651,Physics and Astronomy,,1868-4513,1868-4521,Graduate Texts in Physics,,http://doi.org/10.1007/978-3-662-46321-5,http://link.springer.com/openurl?genre=book&isbn=978-3-662-46321-5,"Physics; Quantum Physics; Elementary Particles, Quantum Field Theory",Springer Berlin Heidelberg,Springer
Data Structures and Algorithms with Python,"Kent D. Lee, Steve Hubbard",2015,Undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-13071-2,978-3-319-13072-9,EN,English/International,11645,Computer Science,,1863-7310,2197-1781,Undergraduate Topics in Computer Science,,http://doi.org/10.1007/978-3-319-13072-9,http://link.springer.com/openurl?genre=book&isbn=978-3-319-13072-9,Computer Science; Data Structures; Python; Algorithm Analysis and Problem Complexity; Programming Techniques,Springer International Publishing,Springer
LGBT-Parent Families,"Abbie E. Goldberg, Katherine R. Allen",2013,Graduate/advanced undergraduate textbook,2013,Springer Science+Business Media New York,978-1-4614-4555-5,978-1-4614-4556-2,EN,English/International,11648,"Humanities, Social Sciences and Law",,,,,,http://doi.org/10.1007/978-1-4614-4556-2,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-4556-2,Social Sciences; Family; Gender Studies; Public Health; Social Policy,Springer New York,Springer
Integrated Neuroscience,"Elliott M. Marcus, Stanley Jacobson",2003,Graduate/advanced undergraduate textbook,2003,Springer Science+Business Media New York,978-1-4020-7164-5,978-1-4615-1077-2,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-1-4615-1077-2,http://link.springer.com/openurl?genre=book&isbn=978-1-4615-1077-2,Biomedicine; Neurosciences; Neurology,Springer US,Springer
Introduction to Partial Differential Equations,Peter J. Olver,2014,Undergraduate textbook,2014,Springer International Publishing Switzerland,978-3-319-02098-3,978-3-319-02099-0,EN,English/International,11649,Mathematics and Statistics,,0172-6056,2197-5604,Undergraduate Texts in Mathematics,,http://doi.org/10.1007/978-3-319-02099-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-02099-0,Mathematics; Partial Differential Equations; Complex Systems; Fourier Analysis,Springer International Publishing,Springer
Microeconomics,Peter Dorman,2014,Undergraduate textbook,2014,Springer-Verlag Berlin Heidelberg,978-3-642-37433-3,978-3-642-37434-0,EN,English/International,11643,Business and Economics,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-642-37434-0,http://link.springer.com/openurl?genre=book&isbn=978-3-642-37434-0,Economics; Microeconomics; International Political Economy,Springer Berlin Heidelberg,Springer
System Dynamics,"Bilash Kanti Bala, Fatimah Mohamed Arshad, Kusairi Mohd Noh",1st ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer Science+Business Media Singapore,978-981-10-2043-8,978-981-10-2045-2,EN,English/International,41170,Economics and Finance,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-981-10-2045-2,http://link.springer.com/openurl?genre=book&isbn=978-981-10-2045-2,Economics; Agricultural Economics; Mathematical Modeling and Industrial Mathematics; Mathematical and Computational Engineering; Industrial Organization,Springer Singapore,Springer
